TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VSEC11;71,32;0,510000;11,01;98,80;0,72;1.260,17;52,16;;;6.198.218,02;71,00;Ativa;62.735,00
VSHO11;80,00;0,590000;8,02;101,80;0,79;18.766,54;2,08;-5,81;-7,63;213.653.692,92;2.011,00;Ativa;2.098.800,00
VSLH11;9,35;0,116000;17,09;10,01;0,93;1.310.522,15;1,21;;;299.030.177,86;58.139,00;Ativa;29.864.091,00
VTPA11;0,00;;0,00;104,62;;;0,75;;;68.001.474,83;1,00;Ativa;650.000,00
BICE11;1.000,00;5,400000;7,48;924,30;1,08;24.000,00;6,35;;;10.251.457,87;95,00;Ativa;11.091,00
BIME11;9,46;0,120000;4,78;9,52;0,99;86.239,76;9,49;;;55.661.575,95;1.081,00;Ativa;5.845.602,00
BTRA11;101,70;0,940000;6,64;103,32;0,98;778.906,32;17,83;;;347.612.245,52;12.368,00;Ativa;3.364.559,00
DOMC11;439,00;;0,00;108,12;4,06;;0,29;;-4,24;264.223.694,91;1.135,00;Ativa;2.443.800,00
FINF11;0,00;0,272017;0,00;52,29;;;1,68;19,35;;42.886.215,12;4,00;Ativa;820.112,00
PNDL11;0,00;;0,00;655,42;;;57,41;;;22.575.165,71;46,00;Ativa;34.444,00
RBRM11;94.794,81;11.122,720269;97,70;135.563,18;0,70;;10,85;;;73.068.556,14;54,00;--;539,00
ABCP11;73,58;0,500000;7,63;91,89;0,80;73.713,98;1,76;-0,47;-9,62;1.121.419.876,00;19.046,00;Passiva;12.203.832,00
ATWN11;0,00;;0,00;577,78;;;0,01;;;92.882.806,63;2,00;Passiva;160.757,00
CJFI11;0,00;;0,00;1,99;;;0,44;;;100.701.660,04;1,00;Ativa;50.704.055,00
PURB11;0,00;1,020000;0,00;83,70;;;20,32;;;33.971.865,62;1,00;Ativa;405.873,00
VIDS11;0,00;;0,00;947,13;;;23,24;;;56.123.082,79;199,00;Ativa;59.256,00
JSAF11;84,45;0,930000;4,91;97,38;0,87;159.871,22;20,29;;;153.184.381,65;1.849,00;Ativa;1.573.047,00
TSNC11;0,00;37,557458;0,00;5.523,29;;;3,13;-3,08;;100.043.363,89;66,00;Ativa;18.113,00
BBIM11;0,00;0,250000;0,00;48,44;;;0,97;-2,57;;50.131.088,62;20,00;Ativa;1.035.000,00
JTPR11;2.517,00;1,630372;0,00;102,66;24,52;;7,18;;;22.037.718,74;8,00;Ativa;214.674,00
LPLP11;0,00;10,873504;0,00;901,44;;;0,96;;;49.624.125,80;2,00;Ativa;55.050,00
SALI11;0,00;;0,00;100,82;;;1,97;;;8.022.116,79;1,00;Passiva;79.565,00
SPAF11;0,00;2,711066;0,00;1.043,98;;;5,38;-6,99;;11.765.636,65;1,00;Ativa;11.270,00
